frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,state_left_arm_up,state_left_arm_down,state_left_leg_up,state_left_leg_down,state_right_arm_up,state_right_arm_down,state_right_leg_up,state_right_leg_down,state_jump,state_duck
165,0,1,1,1950,up,up,down,down,down,down,down,down,down,up
170,1,1,1,1950,down,down,down,down,down,down,down,down,down,up
175,2,1,1,1950,up,up,down,down,down,down,down,down,down,up
180,3,1,1,1950,up,up,down,down,down,down,down,down,down,up
185,4,1,1,1950,up,up,down,down,down,down,down,down,down,up
190,5,1,1,1950,up,up,down,down,down,down,down,down,down,up
195,6,1,1,1950,up,up,down,down,down,down,down,down,down,up
200,7,1,1,1950,up,up,down,down,down,down,down,down,down,up
205,8,1,1,1950,up,up,down,down,down,down,down,down,down,up
210,9,1,1,1950,up,up,down,down,down,down,down,down,down,up
215,10,1,1,1950,up,up,down,down,down,down,down,down,down,up
220,11,1,1,1950,up,up,down,down,down,down,down,down,down,up
225,12,1,1,1950,up,up,down,down,down,down,down,down,down,up
230,13,1,1,1950,down,down,down,down,down,down,down,down,down,up
235,14,1,1,1950,down,down,down,down,down,down,down,down,down,up
240,15,1,1,1950,down,down,down,down,down,down,down,down,down,up
245,16,1,1,1950,down,down,down,down,down,down,down,down,down,up
250,17,1,1,1950,down,down,down,down,down,down,up,up,down,up
255,18,1,1,1950,down,down,down,down,down,down,down,down,down,up
260,19,1,1,1950,up,up,down,down,down,down,down,down,down,up
265,20,1,1,1950,down,down,down,down,down,down,down,down,down,up
270,21,1,1,1950,up,up,down,down,down,down,down,down,down,up
275,22,1,1,1950,down,down,down,down,down,down,down,down,down,up
280,23,1,1,1950,down,down,down,down,up,up,down,down,down,up
285,24,1,1,1950,up,up,up,up,down,down,down,down,down,up
290,25,1,1,1950,up,up,up,up,down,down,down,down,down,up
295,26,1,1,1950,down,down,up,up,up,up,up,up,down,up
300,27,1,1,1950,down,down,up,up,down,down,down,down,down,up
305,28,1,1,1950,down,down,down,down,up,up,down,down,down,up
310,29,1,1,1950,down,down,down,down,down,down,down,down,down,up
315,30,1,1,1950,down,down,down,down,down,down,down,down,down,up
320,31,1,1,1950,down,down,down,down,up,up,up,up,down,up
325,32,1,1,1950,down,down,down,down,down,down,down,down,down,up
330,33,1,1,1950,down,down,down,down,down,down,down,down,up,up
335,34,1,1,1950,down,down,down,down,up,up,down,down,down,up
340,35,1,1,1950,down,down,down,down,up,up,down,down,up,up
345,36,1,1,1950,up,up,down,down,down,down,down,down,down,up
350,37,1,1,1950,up,up,down,down,down,down,down,down,down,up
355,38,1,1,1950,up,up,down,down,down,down,up,up,down,up
360,39,1,1,1950,up,up,down,down,up,up,up,up,down,up
365,40,1,1,1950,up,up,down,down,up,up,down,down,down,up
370,41,1,1,1950,up,up,down,down,up,up,down,down,up,up
375,42,1,1,1950,down,down,down,down,down,down,down,down,down,up
380,43,1,1,1950,up,up,down,down,down,down,up,up,down,up
385,44,1,1,1950,down,down,down,down,down,down,down,down,down,up
395,46,1,1,1950,down,down,down,down,down,down,down,down,down,up
400,47,1,1,1950,down,down,down,down,down,down,down,down,down,up
405,48,1,1,1950,down,down,up,up,down,down,down,down,down,up
410,49,1,1,1950,down,down,down,down,down,down,down,down,down,up
415,50,1,1,1950,down,down,down,down,up,up,down,down,down,up
445,0,1,2,1960,down,down,down,down,up,up,down,down,down,up
450,1,1,2,1960,down,down,up,up,up,up,down,down,down,up
455,2,1,2,1960,up,up,up,up,up,up,down,down,down,up
460,3,1,2,1960,up,up,up,up,up,up,down,down,down,up
465,4,1,2,1960,down,down,down,down,up,up,down,down,down,up
470,5,1,2,1960,down,down,down,down,up,up,up,up,down,up
475,6,1,2,1960,up,up,down,down,down,down,down,down,down,up
480,7,1,2,1960,up,up,up,up,down,down,down,down,down,up
485,8,1,2,1960,down,down,up,up,down,down,down,down,down,up
490,9,1,2,1960,down,down,up,up,down,down,down,down,down,up
495,10,1,2,1960,down,down,down,down,up,up,down,down,down,up
500,11,1,2,1960,up,up,down,down,up,up,up,up,down,up
505,12,1,2,1960,down,down,down,down,down,down,down,down,down,up
510,13,1,2,1960,down,down,down,down,down,down,down,down,down,up
515,14,1,2,1960,down,down,up,up,up,up,down,down,down,up
520,15,1,2,1960,up,up,down,down,up,up,up,up,down,up
525,16,1,2,1960,up,up,down,down,up,up,down,down,down,up
530,17,1,2,1960,up,up,down,down,down,down,down,down,down,up
535,18,1,2,1960,up,up,down,down,down,down,down,down,down,up
540,19,1,2,1960,up,up,down,down,down,down,up,up,down,up
545,20,1,2,1960,up,up,down,down,down,down,up,up,down,up
550,21,1,2,1960,up,up,down,down,down,down,down,down,down,up
555,22,1,2,1960,up,up,down,down,down,down,down,down,down,up
595,0,1,3,1970,down,down,down,down,up,up,down,down,down,up
600,1,1,3,1970,down,down,up,up,down,down,down,down,down,up
605,2,1,3,1970,down,down,down,down,up,up,down,down,down,up
610,3,1,3,1970,down,down,down,down,up,up,down,down,down,up
615,4,1,3,1970,up,up,down,down,up,up,down,down,down,up
620,5,1,3,1970,down,down,down,down,down,down,down,down,down,up
625,6,1,3,1970,up,up,down,down,down,down,down,down,down,up
630,7,1,3,1970,up,up,down,down,down,down,down,down,down,up
635,8,1,3,1970,up,up,down,down,down,down,down,down,down,up
640,9,1,3,1970,down,down,down,down,down,down,up,up,down,up
645,10,1,3,1970,down,down,down,down,down,down,down,down,down,up
650,11,1,3,1970,down,down,down,down,down,down,down,down,down,up
655,12,1,3,1970,up,up,down,down,down,down,down,down,down,up
660,13,1,3,1970,up,up,down,down,down,down,down,down,down,up
665,14,1,3,1970,down,down,up,up,down,down,down,down,down,up
670,15,1,3,1970,down,down,down,down,down,down,down,down,down,up
675,16,1,3,1970,up,up,down,down,down,down,down,down,down,up
680,17,1,3,1970,up,up,down,down,down,down,down,down,down,up
685,18,1,3,1970,up,up,down,down,down,down,down,down,down,up
690,19,1,3,1970,up,up,down,down,up,up,up,up,down,up
695,20,1,3,1970,up,up,down,down,up,up,down,down,down,up
700,21,1,3,1970,down,down,down,down,up,up,down,down,down,up
705,22,1,3,1970,down,down,down,down,down,down,down,down,down,up
710,23,1,3,1970,down,down,down,down,up,up,down,down,down,up
715,24,1,3,1970,up,up,down,down,up,up,down,down,down,up
720,25,1,3,1970,up,up,down,down,up,up,down,down,down,up
725,26,1,3,1970,down,down,down,down,up,up,down,down,down,up
730,27,1,3,1970,down,down,down,down,down,down,down,down,down,up
735,28,1,3,1970,up,up,down,down,down,down,down,down,down,up
740,29,1,3,1970,down,down,down,down,down,down,down,down,down,up
745,30,1,3,1970,up,up,down,down,up,up,down,down,down,up
750,31,1,3,1970,down,down,down,down,down,down,down,down,down,up
755,32,1,3,1970,down,down,down,down,up,up,down,down,down,up
760,33,1,3,1970,down,down,down,down,up,up,down,down,down,up
765,34,1,3,1970,down,down,down,down,down,down,down,down,down,up
770,35,1,3,1970,down,down,down,down,down,down,down,down,down,up
775,36,1,3,1970,down,down,down,down,down,down,down,down,down,up
780,37,1,3,1970,down,down,down,down,down,down,down,down,down,up
785,38,1,3,1970,up,up,down,down,down,down,down,down,down,up
790,39,1,3,1970,up,up,down,down,down,down,up,up,down,up
795,40,1,3,1970,down,down,down,down,down,down,down,down,down,up
800,41,1,3,1970,up,up,down,down,down,down,down,down,down,up
