frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,left_arm_x,left_arm_y,right_arm_x,right_arm_y,left_leg_x,left_leg_y,right_leg_x,right_leg_y,head_x,head_y
165,0,1,1,1950,0.853010356426239,0.4700510799884796,0.7076697945594788,0.56183922290802,0.8320637941360474,0.8461355566978455,0.701383650302887,0.8488610982894897,0.7356464862823486,0.32994064688682556
170,1,1,1,1950,0.8237382769584656,0.45717620849609375,0.731718122959137,0.5264713764190674,0.8366585969924927,0.8429667353630066,0.6987742781639099,0.8488326072692871,0.7539882659912109,0.34974879026412964
175,2,1,1,1950,0.8185515403747559,0.44955477118492126,0.7304080724716187,0.5312361121177673,0.8362782597541809,0.8418012261390686,0.7107863426208496,0.8330240845680237,0.7611380815505981,0.3784354329109192
180,3,1,1,1950,0.8187121152877808,0.4566071033477783,0.7296583652496338,0.542177140712738,0.8353350758552551,0.8409740924835205,0.6950763463973999,0.8343842625617981,0.7635233402252197,0.3839972913265228
185,4,1,1,1950,0.8160995244979858,0.46062377095222473,0.7285745739936829,0.5610343217849731,0.8313239216804504,0.8410465717315674,0.6922531127929688,0.8353102803230286,0.7668765783309937,0.39042413234710693
190,5,1,1,1950,0.8166474103927612,0.46554532647132874,0.7272955775260925,0.5683300495147705,0.827039897441864,0.840802788734436,0.6907930374145508,0.8370732069015503,0.7685909271240234,0.3898788094520569
195,6,1,1,1950,0.8157498240470886,0.46801266074180603,0.7263397574424744,0.5791781544685364,0.8236668705940247,0.8406974673271179,0.6876758933067322,0.8380648493766785,0.7676804661750793,0.39213353395462036
200,7,1,1,1950,0.8134137988090515,0.46834295988082886,0.7262035012245178,0.5803363919258118,0.8210471868515015,0.8407054543495178,0.6862172484397888,0.8382939696311951,0.7687026262283325,0.3897881805896759
205,8,1,1,1950,0.8122971653938293,0.4682009816169739,0.7258524894714355,0.5875033736228943,0.8191925883293152,0.8386203050613403,0.6853821873664856,0.8387529253959656,0.7688072919845581,0.38999584317207336
210,9,1,1,1950,0.810871958732605,0.46815571188926697,0.7247989177703857,0.5898277759552002,0.8189648389816284,0.8378834128379822,0.6857955455780029,0.8395256996154785,0.7697492837905884,0.38771066069602966
215,10,1,1,1950,0.8097580671310425,0.46673309803009033,0.722730815410614,0.5913795232772827,0.8187828063964844,0.8365479111671448,0.6855164766311646,0.8417033553123474,0.771486759185791,0.3857659697532654
220,11,1,1,1950,0.808761477470398,0.46668824553489685,0.7207582592964172,0.5904467105865479,0.8187838792800903,0.8365300297737122,0.6852869391441345,0.8437545895576477,0.7723318338394165,0.3846763074398041
225,12,1,1,1950,0.7967930436134338,0.44008663296699524,0.712056577205658,0.5642993450164795,0.8188638687133789,0.8372384905815125,0.6848984360694885,0.8437522649765015,0.7716124653816223,0.37805455923080444
230,13,1,1,1950,0.809970498085022,0.5766169428825378,0.7010831236839294,0.5612860918045044,0.8002654910087585,0.8395194411277771,0.6852926015853882,0.8412397503852844,0.7707810401916504,0.33427587151527405
235,14,1,1,1950,0.8292745351791382,0.5674008727073669,0.6785787343978882,0.5519062280654907,0.8042290806770325,0.8340413570404053,0.6861878037452698,0.8301875591278076,0.7601107358932495,0.34966427087783813
240,15,1,1,1950,0.8278834223747253,0.5746749639511108,0.6812454462051392,0.5567509531974792,0.805336594581604,0.842663049697876,0.686363935470581,0.8321892023086548,0.7592941522598267,0.35167816281318665
245,16,1,1,1950,0.8496962785720825,0.5515033006668091,0.6786606311798096,0.5591873526573181,0.8160451650619507,0.8424361348152161,0.6913554668426514,0.8334686160087585,0.7596997022628784,0.3374737501144409
