frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,left_arm_up,left_arm_down,left_leg_up,left_leg_down,right_arm_up,right_arm_down,right_leg_up,right_leg_down,jump,duck
165,0,1,1,1950,1,0,0,1,0,1,0,1,0,0
170,1,1,1,1950,0,1,0,0,0,0,0,0,0,0
175,2,1,1,1950,1,0,0,0,0,0,0,0,0,0
180,3,1,1,1950,0,0,0,0,0,0,0,0,0,0
185,4,1,1,1950,0,0,0,0,0,0,0,0,0,0
190,5,1,1,1950,0,0,0,0,0,0,0,0,0,0
195,6,1,1,1950,0,0,0,0,0,0,0,0,0,0
200,7,1,1,1950,0,0,0,0,0,0,0,0,0,0
205,8,1,1,1950,0,0,0,0,0,0,0,0,0,0
210,9,1,1,1950,0,0,0,0,0,0,0,0,0,0
215,10,1,1,1950,0,0,0,0,0,0,0,0,0,0
220,11,1,1,1950,0,0,0,0,0,0,0,0,0,0
225,12,1,1,1950,0,0,0,0,0,0,0,0,0,0
230,13,1,1,1950,0,1,0,0,0,0,0,0,0,0
235,14,1,1,1950,0,0,0,0,0,0,0,0,0,0
240,15,1,1,1950,0,0,0,0,0,0,0,0,0,0
245,16,1,1,1950,0,0,0,0,0,0,0,0,0,0
250,17,1,1,1950,0,0,0,0,0,0,1,0,0,0
255,18,1,1,1950,0,0,0,0,0,0,0,1,0,0
260,19,1,1,1950,1,0,0,0,0,0,0,0,0,0
265,20,1,1,1950,0,1,0,0,0,0,0,0,0,0
270,21,1,1,1950,1,0,0,0,0,0,0,0,0,0
275,22,1,1,1950,0,1,0,0,0,0,0,0,0,0
280,23,1,1,1950,0,0,0,0,1,0,0,0,0,0
285,24,1,1,1950,1,0,1,0,0,1,0,0,0,0
290,25,1,1,1950,0,0,0,0,0,0,0,0,0,0
295,26,1,1,1950,0,1,0,0,1,0,1,0,0,0
300,27,1,1,1950,0,0,0,0,0,1,0,1,0,0
305,28,1,1,1950,0,0,0,1,1,0,0,0,0,0
310,29,1,1,1950,0,0,0,0,0,1,0,0,0,0
315,30,1,1,1950,0,0,0,0,0,0,0,0,0,0
320,31,1,1,1950,0,0,0,0,1,0,1,0,0,0
325,32,1,1,1950,0,0,0,0,0,1,0,1,0,0
330,33,1,1,1950,0,0,0,0,0,0,0,0,1,0
335,34,1,1,1950,0,0,0,0,1,0,0,0,0,0
340,35,1,1,1950,0,0,0,0,0,0,0,0,1,0
345,36,1,1,1950,1,0,0,0,0,1,0,0,0,0
350,37,1,1,1950,0,0,0,0,0,0,0,0,0,0
355,38,1,1,1950,0,0,0,0,0,0,1,0,0,0
360,39,1,1,1950,0,0,0,0,1,0,0,0,0,0
365,40,1,1,1950,0,0,0,0,0,0,0,1,0,0
370,41,1,1,1950,0,0,0,0,0,0,0,0,1,0
375,42,1,1,1950,0,1,0,0,0,1,0,0,0,0
380,43,1,1,1950,1,0,0,0,0,0,1,0,0,0
385,44,1,1,1950,0,1,0,0,0,0,0,1,0,0
395,46,1,1,1950,0,0,0,0,0,0,0,0,0,0
400,47,1,1,1950,0,0,0,0,0,0,0,0,0,0
405,48,1,1,1950,0,0,1,0,0,0,0,0,0,0
410,49,1,1,1950,0,0,0,1,0,0,0,0,0,0
415,50,1,1,1950,0,0,0,0,1,0,0,0,0,0
-1,51,-1,-1,1950,7,7,2,3,7,7,5,6,3,0
-1,51,-2,-2,1950,14.0,14.0,4.0,6.0,14.0,14.0,10.0,12.0,6.0,0.0
445,0,1,2,1960,0,1,0,1,1,0,0,1,0,0
450,1,1,2,1960,0,0,1,0,0,0,0,0,0,0
455,2,1,2,1960,1,0,0,0,0,0,0,0,0,0
460,3,1,2,1960,0,0,0,0,0,0,0,0,0,0
465,4,1,2,1960,0,1,0,1,0,0,0,0,0,0
470,5,1,2,1960,0,0,0,0,0,0,1,0,0,0
475,6,1,2,1960,1,0,0,0,0,1,0,1,0,0
480,7,1,2,1960,0,0,1,0,0,0,0,0,0,0
485,8,1,2,1960,0,1,0,0,0,0,0,0,0,0
490,9,1,2,1960,0,0,0,0,0,0,0,0,0,0
495,10,1,2,1960,0,0,0,1,1,0,0,0,0,0
500,11,1,2,1960,1,0,0,0,0,0,1,0,0,0
505,12,1,2,1960,0,1,0,0,0,1,0,1,0,0
510,13,1,2,1960,0,0,0,0,0,0,0,0,0,0
515,14,1,2,1960,0,0,1,0,1,0,0,0,0,0
520,15,1,2,1960,1,0,0,1,0,0,1,0,0,0
525,16,1,2,1960,0,0,0,0,0,0,0,1,0,0
530,17,1,2,1960,0,0,0,0,0,1,0,0,0,0
535,18,1,2,1960,0,0,0,0,0,0,0,0,0,0
540,19,1,2,1960,0,0,0,0,0,0,1,0,0,0
545,20,1,2,1960,0,0,0,0,0,0,0,0,0,0
